scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
misleading,6,dev_0023,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0039,0,Yes. Carbon can form a polar covalent bond with hydrogen.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0055,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0059,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0068,0,"No, minors cannot receive the death penalty.",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0087,0,No.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0107,0,"Yes, Australian residents are required to pay tax on their gambling winnings, as it",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0120,0,"No, a vehicle title and registration are not the same. A vehicle title is",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0138,0,"Yes, the drinking age is different in every state.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0151,0,I don't know. The representation of numbers can vary across different languages and,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0163,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0165,0,"Yes, dragon fruit and pitaya are the same thing. They are the common",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0207,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0210,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0221,0,"Yes, a markup language is designed to describe data, such as HTML for describing",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0229,0,I don't know,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0237,0,"Yes, there is a difference between 2-cycle and 2-stroke",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0243,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0248,0,No.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0249,0,"Yes, queen ants give birth to queen ants.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0251,0,"Yes, one sister chromatid has half the DNA of a chromosome.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0257,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0270,0,"Yes, there is a U.S. state where the drinking age is",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0287,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0295,0,"Yes, there is a difference between doves and pigeons. Doves are a",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0298,0,"No, sheet metal gauge and wire gauge are not the same. They are used",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0312,0,"Yes, in most cases, adjectives come before the noun they modify.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0316,0,I don't know,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0318,0,"Yes, an Ace-2-3-4-5 is a straight.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0321,0,"No, a filibuster cannot stop a Supreme Court nominee. A filib",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0333,0,"No, .22 Magnum and .22 WMR are not the",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0336,0,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0343,0,"No, the president is not the only member of the executive branch. The executive",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0352,0,"Yes, you can score off a throw-in in soccer.",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0355,0,"Yes, Father's Day is celebrated on the same day every year, which",,yes,True,1.0,False,yes,yes,True,False,False
