scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
semantic,11,dev_0002,1,YES,17.096,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0003,1,YES,17.714,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0004,1,YES,17.798,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0005,1,YES,17.899,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0006,0,NO,17.441,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0007,1,NO,16.973,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0008,1,NO,16.523,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0009,1,YES,17.549,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0010,1,NO,17.561,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0011,1,NO,17.536,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0012,0,NO,16.321,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0013,1,NO,17.593,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0014,1,NO,17.539,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0015,1,YES,17.991,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0017,1,NO,17.7,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0018,1,NO,17.62,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0020,1,I don't know.,17.684,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0021,0,NO,16.369,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0022,1,NO,17.489,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0023,1,NO,17.187,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0024,1,YES,17.569,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0025,1,NO,17.561,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0027,1,YES,17.353,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0029,1,I don't know.,17.636,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0030,1,NO,17.826,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0031,1,YES,17.202,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0032,1,YES,17.641,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0033,0,NO,17.634,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0034,1,NO,17.651,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0035,1,NO,17.531,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0037,0,NO,17.569,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0038,1,"YES, it is legal to record a cover of a song, but you must obtain the necessary licenses from the copyright holders to legally distribute or perform the cover.",17.684,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0039,0,NO,17.506,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0040,0,NO,17.75,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0041,1,YES,17.619,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0042,0,NO,17.762,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0043,1,YES,17.705,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0044,0,NO,17.705,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0045,1,"YES, there can be words without vowels, such as consonant-only words or words with syllabic consonants.",17.583,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0046,1,NO,17.605,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0047,1,YES,17.977,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0048,1,YES,17.639,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0049,1,YES,16.765,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0052,1,YES,17.462,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0055,0,YES,17.437,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0058,1,NO,14.883,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0059,0,YES,17.726,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0060,1,YES,17.643,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0061,0,NO,17.917,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0064,1,YES,17.29,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0065,1,YES,18.21,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0066,1,YES,16.952,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0067,1,NO,17.855,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0068,0,NO,17.763,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0069,0,NO,17.623,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0070,1,YES,16.744,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0072,1,YES,17.92,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0073,0,NO,16.494,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0074,1,YES,17.724,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0075,1,YES,17.584,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0076,1,NO,17.64,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0078,0,YES,18.055,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0079,1,YES,17.656,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0080,0,I don't know.,17.706,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0082,1,YES,17.503,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0083,0,YES,17.62,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0084,1,YES,17.404,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0085,0,NO,17.723,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0086,1,YES,17.709,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0087,1,NO,17.608,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0088,1,YES,17.993,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0089,1,YES,16.167,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0090,1,YES,17.772,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0091,1,YES,17.234,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0093,1,YES,17.213,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0094,1,YES,17.987,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0095,1,YES,16.158,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0096,0,NO,17.608,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0097,1,I don't know.,17.587,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0099,0,NO,17.822,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0100,0,I don't know.,17.828,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0101,1,YES,17.707,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0102,0,NO,17.224,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0104,0,YES,17.689,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0105,1,NO,17.538,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0107,0,YES,17.478,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0109,0,NO,17.177,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0112,1,NO,17.84,no,True,0.0,False,no,no,True,False,False
semantic,11,dev_0113,0,NO,17.273,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0114,1,YES,17.555,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0115,1,YES,17.461,yes,True,1.0,True,yes,yes,True,False,True
semantic,11,dev_0116,1,YES,16.743,yes,True,1.0,True,yes,yes,True,False,True
