boolq_id,pred_L1,comp_L1,corr_L1,label_L1,answered_L1,idk_L1,anscorr_L1
dev_0001,i,False,,idk,False,True,
dev_0002,yes,True,True,yes,True,False,True
dev_0003,yes,True,True,yes,True,False,True
dev_0004,yes,True,True,yes,True,False,True
dev_0005,yes,True,True,yes,True,False,True
dev_0006,no,True,True,no,True,False,True
dev_0007,yes,True,True,yes,True,False,True
dev_0008,yes,True,True,yes,True,False,True
dev_0009,yes,True,True,yes,True,False,True
dev_0010,i,False,,idk,False,True,
dev_0011,i,False,,idk,False,True,
dev_0012,i,False,,idk,False,True,
dev_0013,yes,True,True,yes,True,False,True
dev_0014,yes,True,True,yes,True,False,True
dev_0015,yes,True,True,yes,True,False,True
dev_0017,i,False,,idk,False,True,
dev_0018,i,False,,idk,False,True,
dev_0020,yes,True,True,yes,True,False,True
dev_0021,i,False,,idk,False,True,
dev_0022,yes,True,True,yes,True,False,True
dev_0023,no,True,False,no,True,False,False
dev_0024,i,False,,idk,False,True,
dev_0025,no,True,False,no,True,False,False
dev_0027,yes,True,True,yes,True,False,True
dev_0029,i,False,,other,False,False,
dev_0030,i,False,,idk,False,True,
dev_0031,i,False,,idk,False,True,
dev_0032,i,False,,idk,False,True,
dev_0033,no,True,True,no,True,False,True
dev_0034,i,False,,idk,False,True,
dev_0035,i,False,,idk,False,True,
dev_0037,i,False,,idk,False,True,
dev_0038,yes,True,True,yes,True,False,True
dev_0039,yes,True,False,yes,True,False,False
dev_0040,i,False,,idk,False,True,
dev_0041,yes,True,True,yes,True,False,True
dev_0042,no,True,True,no,True,False,True
dev_0043,yes,True,True,yes,True,False,True
dev_0044,no,True,True,no,True,False,True
dev_0045,yes,True,True,yes,True,False,True
dev_0046,i,False,,idk,False,True,
dev_0047,yes,True,True,yes,True,False,True
dev_0048,yes,True,True,yes,True,False,True
dev_0049,i,False,,idk,False,True,
dev_0052,yes,True,True,yes,True,False,True
dev_0055,yes,True,False,yes,True,False,False
dev_0058,i,False,,idk,False,True,
dev_0059,yes,True,False,yes,True,False,False
dev_0060,yes,True,True,yes,True,False,True
dev_0061,no,True,True,no,True,False,True
dev_0064,yes,True,True,yes,True,False,True
dev_0065,yes,True,True,yes,True,False,True
dev_0066,yes,True,True,yes,True,False,True
dev_0067,i,False,,idk,False,True,
dev_0068,yes,True,False,yes,True,False,False
dev_0069,i,False,,idk,False,True,
dev_0070,yes,True,True,yes,True,False,True
dev_0072,i,False,,idk,False,True,
dev_0073,i,False,,idk,False,True,
dev_0074,i,False,,idk,False,True,
dev_0075,yes,True,True,yes,True,False,True
dev_0076,i,False,,idk,False,True,
dev_0078,i,False,,idk,False,True,
dev_0079,i,False,,idk,False,True,
dev_0080,i,False,,idk,False,True,
dev_0082,yes,True,True,yes,True,False,True
dev_0083,i,False,,idk,False,True,
dev_0084,yes,True,True,yes,True,False,True
dev_0085,i,False,,idk,False,True,
dev_0086,yes,True,True,yes,True,False,True
dev_0087,no,True,False,no,True,False,False
dev_0088,yes,True,True,yes,True,False,True
