boolq_id,pred_L6,comp_L6,corr_L6,label_L6,answered_L6,idk_L6,anscorr_L6
dev_0001,i,False,,idk,False,True,
dev_0002,yes,True,False,yes,True,False,False
dev_0004,yes,True,False,yes,True,False,False
dev_0008,no,True,True,no,True,False,True
dev_0009,yes,True,False,yes,True,False,False
dev_0013,yes,True,False,yes,True,False,False
dev_0015,yes,True,False,yes,True,False,False
dev_0020,yes,True,False,yes,True,False,False
dev_0021,no,True,True,no,True,False,True
dev_0022,yes,True,False,yes,True,False,False
dev_0023,i,False,,idk,False,True,
dev_0025,no,True,True,no,True,False,True
dev_0027,yes,True,False,yes,True,False,False
dev_0031,yes,True,False,yes,True,False,False
dev_0033,no,True,True,no,True,False,True
dev_0038,i,False,,idk,False,True,
dev_0039,no,True,True,no,True,False,True
dev_0040,no,True,True,no,True,False,True
dev_0043,yes,True,False,yes,True,False,False
dev_0047,yes,True,False,yes,True,False,False
dev_0052,yes,True,False,yes,True,False,False
dev_0055,yes,True,False,yes,True,False,False
dev_0059,yes,True,False,yes,True,False,False
dev_0061,no,True,True,no,True,False,True
dev_0065,yes,True,False,yes,True,False,False
dev_0066,yes,True,False,yes,True,False,False
dev_0068,no,True,True,no,True,False,True
dev_0070,yes,True,False,yes,True,False,False
dev_0072,i,False,,idk,False,True,
dev_0073,i,False,,idk,False,True,
dev_0076,no,True,True,no,True,False,True
dev_0078,i,False,,idk,False,True,
dev_0080,i,False,,idk,False,True,
dev_0083,yes,True,False,yes,True,False,False
dev_0085,i,False,,idk,False,True,
dev_0086,yes,True,False,yes,True,False,False
dev_0087,no,True,True,no,True,False,True
dev_0088,yes,True,False,yes,True,False,False
dev_0089,i,False,,idk,False,True,
dev_0091,yes,True,False,yes,True,False,False
dev_0095,yes,True,False,yes,True,False,False
dev_0100,i,False,,idk,False,True,
dev_0105,no,True,True,no,True,False,True
dev_0107,yes,True,False,yes,True,False,False
dev_0116,yes,True,False,yes,True,False,False
dev_0120,no,True,True,no,True,False,True
dev_0121,yes,True,False,yes,True,False,False
dev_0123,no,True,True,no,True,False,True
dev_0124,no,True,True,no,True,False,True
dev_0125,no,True,True,no,True,False,True
dev_0126,no,True,True,no,True,False,True
dev_0129,yes,True,False,yes,True,False,False
dev_0131,i,False,,idk,False,True,
dev_0132,yes,True,False,yes,True,False,False
dev_0136,yes,True,False,yes,True,False,False
dev_0138,yes,True,False,yes,True,False,False
dev_0142,no,True,True,no,True,False,True
dev_0147,yes,True,False,yes,True,False,False
dev_0148,yes,True,False,yes,True,False,False
dev_0151,no,True,True,no,True,False,True
dev_0153,yes,True,False,yes,True,False,False
dev_0157,no,True,True,no,True,False,True
dev_0159,yes,True,False,yes,True,False,False
dev_0161,yes,True,False,yes,True,False,False
dev_0163,no,True,True,no,True,False,True
dev_0165,yes,True,False,yes,True,False,False
dev_0166,i,False,,idk,False,True,
dev_0170,no,True,True,no,True,False,True
dev_0178,yes,True,False,yes,True,False,False
dev_0179,no,True,True,no,True,False,True
dev_0184,no,True,True,no,True,False,True
dev_0190,yes,True,False,yes,True,False,False
dev_0191,no,True,True,no,True,False,True
dev_0193,yes,True,False,yes,True,False,False
dev_0195,yes,True,False,yes,True,False,False
dev_0196,yes,True,False,yes,True,False,False
dev_0198,i,False,,idk,False,True,
dev_0200,yes,True,False,yes,True,False,False
dev_0202,i,False,,idk,False,True,
dev_0207,no,True,True,no,True,False,True
dev_0209,no,True,True,no,True,False,True
dev_0210,yes,True,False,yes,True,False,False
dev_0211,yes,True,False,yes,True,False,False
dev_0212,no,True,True,no,True,False,True
dev_0214,yes,True,False,yes,True,False,False
dev_0215,i,False,,idk,False,True,
dev_0221,yes,True,False,yes,True,False,False
dev_0222,no,True,True,no,True,False,True
dev_0223,i,False,,idk,False,True,
dev_0224,i,False,,idk,False,True,
dev_0229,no,True,True,no,True,False,True
dev_0230,yes,True,False,yes,True,False,False
dev_0231,no,True,True,no,True,False,True
dev_0234,i,False,,idk,False,True,
dev_0236,no,True,True,no,True,False,True
dev_0237,yes,True,False,yes,True,False,False
dev_0238,yes,True,False,yes,True,False,False
dev_0240,no,True,True,no,True,False,True
dev_0241,yes,True,False,yes,True,False,False
dev_0242,yes,True,False,yes,True,False,False
dev_0243,i,False,,idk,False,True,
dev_0245,no,True,True,no,True,False,True
dev_0247,i,False,,idk,False,True,
dev_0248,no,True,True,no,True,False,True
dev_0249,no,True,True,no,True,False,True
dev_0250,no,True,True,no,True,False,True
dev_0251,no,True,True,no,True,False,True
dev_0252,i,False,,idk,False,True,
dev_0254,yes,True,False,yes,True,False,False
dev_0256,no,True,True,no,True,False,True
dev_0257,no,True,True,no,True,False,True
dev_0258,i,False,,idk,False,True,
dev_0260,no,True,True,no,True,False,True
dev_0262,yes,True,False,yes,True,False,False
dev_0266,no,True,True,no,True,False,True
dev_0268,yes,True,False,yes,True,False,False
dev_0270,no,True,True,no,True,False,True
dev_0271,yes,True,False,yes,True,False,False
dev_0272,no,True,True,no,True,False,True
dev_0273,yes,True,False,yes,True,False,False
dev_0277,yes,True,False,yes,True,False,False
dev_0281,i,False,,idk,False,True,
dev_0284,no,True,True,no,True,False,True
dev_0286,no,True,True,no,True,False,True
dev_0287,yes,True,False,yes,True,False,False
dev_0288,yes,True,False,yes,True,False,False
dev_0290,no,True,True,no,True,False,True
dev_0294,no,True,True,no,True,False,True
dev_0295,yes,True,False,yes,True,False,False
dev_0298,no,True,True,no,True,False,True
dev_0301,no,True,True,no,True,False,True
dev_0303,i,False,,idk,False,True,
dev_0305,no,True,True,no,True,False,True
dev_0306,yes,True,False,yes,True,False,False
dev_0307,no,True,True,no,True,False,True
dev_0308,yes,True,False,yes,True,False,False
dev_0309,no,True,True,no,True,False,True
dev_0310,i,False,,idk,False,True,
dev_0312,yes,True,False,yes,True,False,False
dev_0313,no,True,True,no,True,False,True
dev_0315,no,True,True,no,True,False,True
dev_0316,no,True,True,no,True,False,True
dev_0317,i,False,,idk,False,True,
dev_0318,yes,True,False,yes,True,False,False
dev_0321,no,True,True,no,True,False,True
dev_0322,yes,True,False,yes,True,False,False
dev_0323,yes,True,False,yes,True,False,False
dev_0326,yes,True,False,yes,True,False,False
dev_0329,yes,True,False,yes,True,False,False
dev_0330,yes,True,False,yes,True,False,False
dev_0331,yes,True,False,yes,True,False,False
dev_0333,no,True,True,no,True,False,True
dev_0334,yes,True,False,yes,True,False,False
dev_0336,i,False,,idk,False,True,
dev_0337,yes,True,False,yes,True,False,False
dev_0338,yes,True,False,yes,True,False,False
dev_0339,no,True,True,no,True,False,True
