scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
misleading,6,dev_0023,0,I don't know.,,i,FALSE,,,idk,i don't know,FALSE,TRUE,
misleading,6,dev_0039,0,"No, carbon and hydrogen form nonpolar covalent bonds due",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0055,0,"YES, Wisconsin has been in the Little League World Series. The state has hosted",,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0059,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0068,0,"No, minors cannot be sentenced to the death penalty.
###",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0087,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0107,0,"YES



###",,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0120,0,"No, a vehicle title and registration are not the same. A vehicle title is",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0138,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0151,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0163,0,"No, the square root of 2 cannot be written as a fraction.",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0165,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0207,0,No,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0210,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0221,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0229,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0237,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0243,0,I don't know.,,i,FALSE,,,idk,i don't know,FALSE,TRUE,
misleading,6,dev_0248,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0249,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0251,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0257,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0270,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0287,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0295,0,"Yes, there is a difference between doves and pigeons. Dov",,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0298,0,NO,,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0312,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0316,0,"No, the internal intercostal muscles contract during expiration, not insp",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
misleading,6,dev_0318,0,YES,,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
misleading,6,dev_0321,0,"No, a filibuster cannot stop a Supreme Court nominee. The",,no,TRUE,0,TRUE,no,no,TRUE,FALSE,TRUE
