file,domain,answer,count,totals,file,domain,answer,count,totals,file,domain,answer,count,totals
final_false,arts_music_literature,FALSE,6,12,final_idk,arts_music_literature,FALSE,6,12,final_true,arts_music_literature,FALSE,6,12
final_false,arts_music_literature,TRUE,6,,final_idk,arts_music_literature,TRUE,6,,final_true,arts_music_literature,TRUE,6,
final_false,biology,FALSE,17,30,final_idk,biology,FALSE,15,30,final_true,biology,FALSE,15,30
final_false,biology,TRUE,13,,final_idk,biology,TRUE,15,,final_true,biology,TRUE,15,
final_false,business_economics,FALSE,7,25,final_idk,business_economics,FALSE,12,25,final_true,business_economics,FALSE,12,25
final_false,business_economics,TRUE,18,,final_idk,business_economics,TRUE,13,,final_true,business_economics,TRUE,13,
final_false,everyday_life_culture,FALSE,6,18,final_idk,everyday_life_culture,FALSE,9,18,final_true,everyday_life_culture,FALSE,9,18
final_false,everyday_life_culture,TRUE,12,,final_idk,everyday_life_culture,TRUE,9,,final_true,everyday_life_culture,TRUE,9,
final_false,film_tv,FALSE,12,19,final_idk,film_tv,FALSE,9,19,final_true,film_tv,FALSE,11,20
final_false,film_tv,TRUE,7,,final_idk,film_tv,TRUE,10,,final_true,film_tv,TRUE,9,
final_false,food_cooking,FALSE,9,15,final_idk,food_cooking,FALSE,7,15,final_true,food_cooking,FALSE,8,15
final_false,food_cooking,TRUE,6,,final_idk,food_cooking,TRUE,8,,final_true,food_cooking,TRUE,7,
final_false,games_gaming,FALSE,5,13,final_idk,games_gaming,FALSE,6,13,final_true,games_gaming,FALSE,6,13
final_false,games_gaming,TRUE,8,,final_idk,games_gaming,TRUE,7,,final_true,games_gaming,TRUE,7,
final_false,geography,FALSE,10,15,final_idk,geography,FALSE,7,15,final_true,geography,FALSE,7,15
final_false,geography,TRUE,5,,final_idk,geography,TRUE,8,,final_true,geography,TRUE,8,
final_false,health_medicine,FALSE,6,18,final_idk,health_medicine,FALSE,9,18,final_true,health_medicine,FALSE,9,18
final_false,health_medicine,TRUE,12,,final_idk,health_medicine,TRUE,9,,final_true,health_medicine,TRUE,9,
final_false,history,FALSE,6,10,final_idk,history,FALSE,5,10,final_true,history,FALSE,5,10
final_false,history,TRUE,4,,final_idk,history,TRUE,5,,final_true,history,TRUE,5,
final_false,law,FALSE,20,29,final_idk,law,FALSE,14,29,final_true,law,FALSE,14,29
final_false,law,TRUE,9,,final_idk,law,TRUE,15,,final_true,law,TRUE,15,
final_false,politics_government,FALSE,13,22,final_idk,politics_government,FALSE,11,22,final_true,politics_government,FALSE,12,22
final_false,politics_government,TRUE,9,,final_idk,politics_government,TRUE,11,,final_true,politics_government,TRUE,10,
final_false,science,FALSE,17,33,final_idk,science,FALSE,17,33,final_true,science,FALSE,16,33
final_false,science,TRUE,16,,final_idk,science,TRUE,16,,final_true,science,TRUE,17,
final_false,social_science_religion,FALSE,7,13,final_idk,social_science_religion,FALSE,6,13,final_true,social_science_religion,FALSE,6,13
final_false,social_science_religion,TRUE,6,,final_idk,social_science_religion,TRUE,7,,final_true,social_science_religion,TRUE,7,
final_false,sports,FALSE,22,39,final_idk,sports,FALSE,19,38,final_true,sports,FALSE,13,39
final_false,sports,TRUE,17,,final_idk,sports,TRUE,19,,final_true,sports,TRUE,26,
final_false,technology,FALSE,8,23,final_idk,technology,FALSE,11,23,final_true,technology,FALSE,11,23
final_false,technology,TRUE,15,,final_idk,technology,TRUE,12,,final_true,technology,TRUE,12,
